City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,93.11,47,91,2.01,overcast clouds
167,Griffith,US,41.5284,-87.4237,83.28,47,1,1.99,clear sky
168,Merauke,ID,-8.4667,140.3333,76.33,88,100,10.71,overcast clouds
169,Tananger,NO,58.9333,5.6,64.9,76,40,20.71,light rain
170,Derzhavinsk,KZ,51.1,66.3167,46.17,52,54,10.09,broken clouds
171,Khatassy,RU,61.9036,129.6383,33.78,74,100,10.87,overcast clouds
172,Belmonte,BR,-15.8631,-38.8828,81.1,69,62,10.27,broken clouds
173,Buritama,BR,-21.0661,-50.1472,87.91,23,3,3.87,clear sky
174,Seljord,NO,59.4894,8.634,56.61,99,100,4.16,moderate rain
175,Lata,PT,40.1629,-8.3327,74.35,74,97,4.27,overcast clouds
176,Vanimo,PG,-2.6741,141.3028,77.07,86,89,3.78,overcast clouds
177,Mananjary,MG,-21.2167,48.3333,69.57,86,1,5.28,clear sky
178,Leningradskiy,RU,69.3833,178.4167,25.72,95,100,5.06,overcast clouds
179,Namatanai,PG,-3.6667,152.4333,79.05,83,95,3.09,light rain
180,Sascut,RO,46.2,27.1,64.74,63,58,3.74,broken clouds
181,Bam,IR,29.106,58.357,83.59,12,0,8.99,clear sky
182,Ust-Kan,RU,50.9276,84.761,33.22,39,100,3.02,light snow
183,Kralendijk,BQ,12.15,-68.2667,84.61,75,2,15.41,clear sky
184,Pevek,RU,69.7008,170.3133,24.91,61,100,7.58,overcast clouds
185,Juneau,US,58.3019,-134.4197,48.85,98,100,1.57,overcast clouds
186,Lagoa,PT,39.05,-27.9833,68.45,76,100,18.41,overcast clouds
187,Bathsheba,BB,13.2167,-59.5167,88.41,66,20,9.22,few clouds
188,Samarai,PG,-10.6167,150.6667,78.44,86,100,15.55,overcast clouds
189,Amaigbo,NG,5.7892,7.8383,79.05,83,100,4.56,light rain
190,Constitucion,CL,-35.3333,-72.4167,60.37,44,38,13.8,scattered clouds
191,Smirnykh,RU,49.75,142.8333,47.86,91,100,1.77,overcast clouds
192,El Estor,GT,15.5333,-89.35,89.33,67,70,3.67,broken clouds
193,Mantua,IT,45.1667,10.7833,73.27,82,90,3.62,overcast clouds
194,Mbaiki,CF,3.8678,17.9892,71.94,93,98,2.8,light rain
195,Chifeng,CN,42.2683,118.9636,58.39,58,80,5.41,broken clouds
